epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.16500000000953674;5.896502862091064;0.4103;0.1172;6.867962004089356;0.3186
1;0.32254;4.586207717132568;0.64414;0.1959;5.929460086059571;0.4882
2;0.4179;3.7622453898620605;0.741360000038147;0.33;4.311559393310547;0.6275
3;0.4761799999809265;3.223464546585083;0.7932199999809265;0.3779;3.6098038230895995;0.6987
4;0.5170599999809266;2.8499750956726073;0.8273599999809265;0.3978;3.503133216094971;0.7071
5;0.5490599999618531;2.6059328358459473;0.8482599999809265;0.368;3.6149034149169923;0.6765
6;0.5716800000190735;2.4384279933166506;0.8640799999809265;0.3722;3.5515270343780516;0.6948
7;0.5937999999618531;2.3152247665405272;0.877239999961853;0.4558;2.9385030929565428;0.767
8;0.6117199999809265;2.228569658546448;0.886720000038147;0.4877;2.785097540283203;0.7897
9;0.6232;2.1705715887451174;0.8937599999618531;0.4367;3.162309226989746;0.7362
10;0.63662;2.1258970599365234;0.9016400000190735;0.496;2.761769044494629;0.7957
11;0.64212;2.1108035737609865;0.90572;0.402;3.353664968490601;0.727
12;0.65448;2.0739782260131836;0.9116999999809265;0.4183;3.2640838928222657;0.7123
13;0.6601799999809265;2.069253323059082;0.9146600000190734;0.492;2.9010213649749756;0.7915
14;0.6710600000381469;2.0431211726379392;0.918499999961853;0.5003;2.867421952819824;0.8029
15;0.67768;2.023031460800171;0.9225399999809265;0.4929;2.8850714519500733;0.7944
16;0.683200000038147;2.015775113983154;0.9258800000190734;0.4971;2.8872930740356444;0.8004
17;0.690800000038147;2.0090049892425537;0.9293;0.5554;2.631471661376953;0.8329
18;0.6927999999809266;2.0121595705413817;0.930660000038147;0.5287;2.7616676612854003;0.8162
19;0.700220000038147;1.9981389477157592;0.934519999961853;0.5129;2.8999696853637693;0.8073
20;0.7041;2.005599407196045;0.9364800000190735;0.4544;3.3328724510192873;0.7752
21;0.7102;1.9941863804626465;0.9392800000190735;0.5315;2.8692002479553222;0.8137
22;0.7119200000381469;1.9961774378967285;0.940300000038147;0.5253;2.8022922012329103;0.8251
23;0.7124999999809265;2.002993657913208;0.9412000000190734;0.5534;2.75969942779541;0.8249
24;0.7204800000381469;1.9908189177703857;0.945359999961853;0.5531;2.7850378562927247;0.8397
25;0.7250199999809265;1.9961560445785522;0.945299999961853;0.5452;2.7658835834503175;0.8301
26;0.7270200000381469;1.9960848109817504;0.9469600000190734;0.5296;2.86461569480896;0.8288
27;0.7280399999809265;2.0117612882995606;0.9462799999618531;0.5077;3.0644359375;0.8077
28;0.7324200000190735;1.998724281616211;0.9493799999809265;0.5512;2.8372373458862303;0.8361
29;0.734659999961853;2.006001189537048;0.9517199999809265;0.5452;3.0221778175354004;0.829
