epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.16356;5.910033533935547;0.40843999999046326;0.1219;7.053682598876953;0.2884
1;0.31000000000476835;4.657533307037354;0.6233200000190735;0.1492;6.868858264923095;0.368
2;0.40318000000953674;3.825613659057617;0.728280000038147;0.2557;4.742523847961426;0.5648
3;0.46664000001907346;3.2506677241516115;0.7866200000190735;0.2818;4.739967680358887;0.5478
4;0.5100000000095367;2.8823062802886965;0.820880000038147;0.3983;3.32812523727417;0.7283
5;0.545159999961853;2.6268246276855467;0.84374;0.4182;3.189147303390503;0.7343
6;0.5690800000190734;2.4495179398345948;0.8623399999809265;0.428;3.079227699279785;0.7469
7;0.590979999961853;2.3279027195739745;0.873939999961853;0.4431;3.028252611541748;0.7554
8;0.6051199999809265;2.2470841608428955;0.884599999961853;0.4809;2.8435636993408204;0.7814
9;0.6200200000190735;2.1928164152526857;0.891140000038147;0.4542;2.946610725402832;0.7657
10;0.6325;2.1367788679504396;0.899919999961853;0.4104;3.249720273590088;0.7123
11;0.6396600000190735;2.1212393841552735;0.9029200000190735;0.4367;3.220204782104492;0.7285
12;0.651019999961853;2.0872524169921873;0.9104;0.4291;3.198384983444214;0.7394
13;0.660240000038147;2.064637707748413;0.9148600000190735;0.4965;2.842542770385742;0.7951
14;0.6685999999809266;2.044709610824585;0.918500000038147;0.4253;3.242649496841431;0.7257
15;0.67412;2.038797194366455;0.9226199999809265;0.527;2.682263411331177;0.8203
16;0.6821800000381469;2.0317688893127444;0.9259799999809265;0.4378;3.258371183013916;0.7641
17;0.685420000038147;2.0217950965118408;0.9289599999618531;0.4919;2.91807253036499;0.7987
18;0.69382;2.0074755087661744;0.931200000038147;0.4487;3.2214276790618896;0.7613
19;0.6965200000190734;2.0132525930786134;0.932380000038147;0.5238;2.8431983291625977;0.8138
20;0.7057400000190734;2.000715287322998;0.9352400000190735;0.4824;3.0407257804870604;0.777
21;0.7071399999618531;2.004482325744629;0.9373800000190735;0.5169;2.9889490478515626;0.7951
22;0.7128;2.00552935836792;0.9390600000381469;0.4913;3.0688525939941407;0.7944
23;0.71664;2.0004996243286133;0.9406199999618531;0.4748;3.148815578842163;0.7686
24;0.7164799999809265;2.0177005676651003;0.942100000038147;0.5413;2.8141049110412597;0.8278
25;0.7209800000190735;2.013879152336121;0.9438199999618531;0.543;2.8318003917694092;0.8268
26;0.7229400000190734;2.012331948852539;0.9460000000190735;0.5428;2.8438131942749023;0.8279
