epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.483140000038147;1.9202581880569458;0.9187399999618531;0.2053;8.378145851135255;0.7102
1;0.6806600000190735;1.2534655435180664;0.975059999961853;0.4286;3.5211177597045897;0.9045
2;0.7584399999618531;1.0081519006347657;0.984659999961853;0.6857;1.3170333992004395;0.9674
3;0.794119999961853;0.8952620820236206;0.9893;0.7269;1.0851237270355225;0.9832
4;0.8166200000190735;0.8233784248352051;0.9911600000190735;0.6702;1.391911857032776;0.961
5;0.8345;0.7671227729797363;0.99272;0.5984;1.5595132411956787;0.9592
6;0.8469199999809265;0.7287121419143677;0.99354;0.6567;1.3975220790863037;0.963
7;0.855260000038147;0.6976842324447632;0.9942000000190735;0.758;0.9789746330261231;0.985
8;0.8671800000190735;0.6653051720619202;0.99484;0.7399;1.1019010712623596;0.9844
9;0.8723999999809265;0.6442839423561096;0.9959800000190735;0.6702;1.369698062133789;0.9541
10;0.880179999961853;0.6247741332435608;0.99572;0.7542;1.0393020408630371;0.9743
11;0.8864199999809265;0.6047370348358154;0.9964;0.7795;0.9837479721069335;0.9739
12;0.89142;0.5852712872505188;0.99702;0.7412;1.0064097742080689;0.9896
13;0.8956399999809265;0.57297752368927;0.99744;0.8141;0.8284718763351441;0.9901
14;0.901939999961853;0.5567183141136169;0.99736;0.8018;0.8639594652175904;0.9897
15;0.9044800000190735;0.5460312534618378;0.99758;0.7923;0.9063042908668518;0.9881
16;0.907699999961853;0.5326246084976196;0.99778;0.8243;0.7921746892929077;0.9925
17;0.910819999961853;0.5257608512306213;0.99756;0.8265;0.7907744688034057;0.992
18;0.9129399999809266;0.5166597550582885;0.99798;0.8421;0.7582744275093078;0.993
19;0.9137000000190735;0.5106084543418884;0.9981800000190735;0.8004;0.8998607837677002;0.9922
20;0.916659999961853;0.49891338691711423;0.99812;0.8577;0.695198668384552;0.9942
21;0.9227400000381469;0.4882355093193054;0.99818;0.834;0.800732706451416;0.9921
22;0.920879999961853;0.4874662873458862;0.9983;0.7574;1.2870601573944092;0.9719
23;0.92314;0.48103393476486206;0.9984000000190735;0.8339;0.7613232816696167;0.9931
24;0.9251799999809265;0.472073435049057;0.99872;0.8242;0.8542684185028077;0.9928
25;0.927140000038147;0.4687523317527771;0.9986600000190735;0.8524;0.717008130645752;0.9916
26;0.9304;0.45843881540298465;0.99884;0.8453;0.7400699499130249;0.9918
27;0.93186;0.4548311309814453;0.9987200000190735;0.7613;1.0998689165115356;0.9916
28;0.932220000038147;0.4533968439102173;0.9989;0.867;0.6500319069385528;0.9947
29;0.933300000038147;0.4473129427146912;0.99892;0.8349;0.7650427062988281;0.9921
30;0.9352400000190735;0.4401552717399597;0.9989;0.8851;0.6131739744186402;0.9959
31;0.9359599999809265;0.4375720915031433;0.99896;0.86;0.7074598231315613;0.9943
32;0.938;0.4273716396522522;0.99896;0.8189;0.9253143898010254;0.9933
33;0.9389199999809266;0.43036009302139283;0.99878;0.827;0.8506427383422852;0.9905
