epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.49327999999046324;3.6611030921936036;0.921899999961853;0.4518;3.62330051651001;0.8995
1;0.6839;2.7019329306030273;0.9745999999809265;0.3936;4.879517469787598;0.8855
2;0.753919999961853;2.0734164924240113;0.98344;0.6733;2.1796926542282105;0.9761
3;0.786059999961853;1.641588335876465;0.9873800000190734;0.6187;2.2239172103881835;0.9674
4;0.807339999961853;1.3390162129211425;0.9906400000190735;0.7332;1.4941712358474732;0.9851
5;0.8254999999809265;1.1380537796020507;0.99112;0.7486;1.2908573009490967;0.9794
6;0.83362;1.006273987121582;0.99244;0.7331;1.281240675830841;0.979
7;0.839959999961853;0.9228905244445801;0.993160000038147;0.784;1.0822326700210572;0.9833
8;0.850340000038147;0.8577573113250733;0.994;0.7459;1.160469606590271;0.9802
9;0.8559000000190735;0.8169033058166504;0.99426;0.7806;1.0460899444580078;0.9787
10;0.8604399999809265;0.786037159538269;0.9947800000190735;0.7885;1.009871628189087;0.9882
11;0.8652;0.767228754196167;0.9951800000190735;0.7176;1.2798665163040162;0.9871
12;0.86762;0.7496163953399658;0.9953400000190735;0.7286;1.2320514266967773;0.9888
13;0.8723600000190734;0.7351378051567078;0.995420000038147;0.5926;1.7153937517166138;0.9533
14;0.874079999961853;0.7318710345458984;0.9957;0.7812;1.0015224431991576;0.9892
15;0.8779000000190735;0.7222163502502441;0.9958800000190735;0.6418;1.5339308603286743;0.9749
16;0.8807600000381469;0.7157852661132813;0.9963;0.751;1.1316346797943115;0.9816
17;0.8839999999809265;0.7046129882049561;0.99638;0.7319;1.2874577016830444;0.9733
18;0.884039999961853;0.7018377221298218;0.99652;0.7117;1.2772388907432557;0.9816
19;0.8843799999809265;0.7098980690002441;0.9966;0.7421;1.1463098278045654;0.9818
20;0.8890200000190734;0.6938811506271362;0.9965600000190735;0.7274;1.2133675086975098;0.9852
21;0.890079999961853;0.6940752941131592;0.99626;0.7875;0.9909852766036987;0.9889
22;0.891860000038147;0.6929386468505859;0.99678;0.7581;1.2623127767562867;0.9732
23;0.8920400000190735;0.6911648812484741;0.99718;0.7851;1.0153920680999755;0.9877
24;0.8936999999809265;0.6899278152275086;0.99648;0.8054;0.9652621183395386;0.9909
25;0.896779999961853;0.6793543820571899;0.99722;0.8004;1.0299119617462158;0.9816
