epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.04422000000476837;4.337593136138916;0.18239999999046325;0.0583;4.2491554924011234;0.2409
1;0.0939800000011921;3.925546714477539;0.31386;0.1059;4.079398805618286;0.3016
2;0.14022;3.649540739822388;0.40798;0.1248;3.9648762619018556;0.3692
3;0.19907999999523163;3.381259457321167;0.49842000000953673;0.1735;3.6924186988830567;0.4533
4;0.24642;3.1537879502105715;0.5732600000381469;0.2099;3.526219635772705;0.5045
5;0.2991400000190735;2.9539709446716307;0.63954;0.2479;3.32360382232666;0.576
6;0.3445999999809265;2.8091400791931154;0.6871999999809265;0.3289;2.947688570022583;0.6655
7;0.37596;2.70879010887146;0.72094;0.3473;2.9009942264556883;0.6793
8;0.40729999999046324;2.634935865097046;0.74704;0.3401;3.0124749404907227;0.6678
9;0.42962000001907347;2.580831944274902;0.7655399999809265;0.2708;3.516370066070557;0.5717
10;0.4506200000190735;2.5371676654052733;0.783679999961853;0.3898;2.8812341060638427;0.7099
11;0.4693199999809265;2.4988790200805666;0.796459999961853;0.3569;3.0732932525634764;0.6882
12;0.4828600000095367;2.4727785765838624;0.808139999961853;0.4079;2.9180435245513916;0.7249
13;0.50036;2.445363614959717;0.8178200000190735;0.3834;3.1231465671539307;0.7073
14;0.5146000000190735;2.418823095703125;0.8283600000190735;0.4158;2.8889264476776124;0.74
15;0.5260199999809265;2.4028108628845213;0.8355399999809265;0.4234;3.026443867492676;0.734
16;0.538879999961853;2.379157113342285;0.8435800000190735;0.408;3.066724436187744;0.7266
17;0.5485200000381469;2.3818285163879396;0.84794;0.3889;3.218173574447632;0.6958
18;0.55922;2.360592718811035;0.8557;0.4389;3.1057533924102785;0.7332
19;0.5682800000190735;2.349102078475952;0.8608199999809265;0.4163;3.135849898529053;0.7263
20;0.5750200000190735;2.3546365689086914;0.8616399999809266;0.4574;2.927367695236206;0.7686
21;0.58164;2.345933223953247;0.867420000038147;0.4129;3.1856780178070068;0.7254
22;0.5886;2.343850910873413;0.8700800000190735;0.3766;3.4333990699768067;0.6841
23;0.5961599999809265;2.335647046508789;0.876259999961853;0.4282;3.2900277534484865;0.7123
