epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.00994;111.88114340087891;0.99522;0.01;85.60945587158203;0.9998
1;0.009980000000596047;69.22840563476562;1.0;0.01;56.0883419128418;1.0
2;0.01;47.499631866455076;1.0;0.01;40.398739624023435;0.9999
3;0.010000000000298024;35.5276021472168;0.99998;0.01;31.43076400756836;1.0
4;0.010000000000298024;28.527454349365236;1.0;0.01;26.05290374145508;1.0
5;0.010000000000298024;24.259780775146485;1.0;0.01;22.71240178527832;1.0
6;0.010000000000298024;21.570847896728516;1.0;0.01;20.578906478881837;0.9998
7;0.010000000000596046;19.83535496887207;0.99994;0.01;19.184305575561524;0.9994
8;0.01026;18.685090967407227;0.99978;0.011;18.243343637084962;0.9999
9;0.0103;17.93939086730957;0.99994;0.01;17.66240051879883;0.9992
10;0.010000000000596046;17.44128399230957;0.99966;0.01;17.24354485168457;0.9983
11;0.010000000000596046;17.08773614013672;0.9994;0.01;16.94783524169922;0.997
12;0.06410000000119209;8.584795178070069;0.46308;0.1087;4.733179647827148;0.3137
13;0.16600000000953674;4.237128038635254;0.43100000001907346;0.161;4.223212624740601;0.4268
14;0.23899999999046326;3.734525294265747;0.537280000038147;0.2485;3.6394908393859864;0.5535
15;0.2883399999809265;3.403969260635376;0.6053800000190734;0.2894;3.396352930831909;0.6119
16;0.33441999999046323;3.1439405875396726;0.6579800000190735;0.3257;3.1618228996276856;0.6493
17;0.37006;2.930465938949585;0.698080000038147;0.3601;2.938789205932617;0.6965
18;0.4081599999809265;2.7470161868286134;0.7332999999809265;0.3831;2.904372513961792;0.7091
19;0.44066000001907346;2.589510944747925;0.7628599999809265;0.3913;2.808971701812744;0.7247
20;0.463859999961853;2.4615777198028566;0.785939999961853;0.3502;3.27500877494812;0.6579
21;0.4945399999904633;2.335133275527954;0.8085799999809266;0.4473;2.6244636528015137;0.7602
22;0.5124200000190735;2.2505207720947267;0.8235800000190735;0.4683;2.4618372764587404;0.779
23;0.53664;2.1543920906066893;0.838219999961853;0.4707;2.476846099662781;0.785
24;0.55304;2.0785671324157713;0.852440000038147;0.4793;2.4093216135025024;0.7901
25;0.5728399999809265;2.0044149773406983;0.863;0.5139;2.2871921981811525;0.8184
26;0.588;1.9438023921203613;0.8717599999809265;0.4913;2.395553668212891;0.7942
27;0.600999999961853;1.889711881828308;0.8795600000381469;0.5026;2.3692450811386108;0.7963
28;0.61518;1.8282163494110106;0.8885400000190735;0.5255;2.2470810501098635;0.8238
29;0.63148;1.7770639125061034;0.895460000038147;0.5414;2.158056381034851;0.8353
30;0.640279999961853;1.7332002621841431;0.9023200000190735;0.5495;2.1612517307281496;0.8374
31;0.653820000038147;1.6861374325561524;0.907120000038147;0.5295;2.3002112586975096;0.8257
32;0.6623799999809266;1.6481209475708007;0.9134800000190735;0.5631;2.0871330249786375;0.8453
33;0.6767400000381469;1.6033755734634398;0.919940000038147;0.5063;2.349409790420532;0.8095
34;0.6837200000190735;1.5725849113464356;0.9238400000381469;0.5513;2.200050526428223;0.8388
35;0.6914999999809265;1.537620390396118;0.9283199999809265;0.5209;2.39624817237854;0.8175
36;0.703100000038147;1.4980016819000244;0.93336;0.5616;2.131883618927002;0.8427
37;0.711960000038147;1.472979232673645;0.9349600000381469;0.5843;2.075268581008911;0.8608
38;0.717979999961853;1.4427339737701417;0.9394199999809265;0.5634;2.0950130741119386;0.8552
39;0.7264599999809265;1.412294797859192;0.9437199999618531;0.5873;2.099387866973877;0.8627
40;0.73348;1.395748950881958;0.945300000038147;0.5569;2.289120417022705;0.8353
41;0.739159999961853;1.367970491104126;0.9488799999809265;0.5952;2.031838648223877;0.8656
42;0.74722;1.336260824432373;0.9524200000190735;0.5917;2.0701989742279054;0.864
43;0.7551599999809265;1.31552837348938;0.954440000038147;0.5605;2.2823081550598143;0.8431
44;0.756599999961853;1.3035122601318359;0.956779999961853;0.5543;2.3044295166015627;0.8431
45;0.7667599999618531;1.2730568003082274;0.959620000038147;0.5995;2.0491234954833986;0.8686
46;0.773440000038147;1.2579485303497315;0.9615800000190735;0.602;2.051677016067505;0.8731
47;0.7769999999809265;1.2361670547103882;0.963900000038147;0.5938;2.092728094482422;0.8666
48;0.7827400000381469;1.2150467327880858;0.965100000038147;0.6079;2.040686627960205;0.8702
49;0.7869599999618531;1.2036362646484375;0.96702;0.5953;2.146739758682251;0.8584
50;0.7929400000190735;1.182323682937622;0.967939999961853;0.5878;2.2304980884552004;0.8605
51;0.7995;1.168072865562439;0.9695799999618531;0.5976;2.1917384998321534;0.8652
