epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.10002000000238419;604.8644571875;0.9993;0.1;539.78338515625;1.0
1;0.10000000000476837;470.41546732421875;1.0;0.1;402.86374028320313;1.0
2;0.10000000000476837;343.38945889648437;1.0;0.1;288.20456059570313;1.0
3;0.10000000000238418;242.770278046875;0.99878;0.1;201.6526930419922;0.8855
4;0.10000000000476837;169.1202100830078;0.845520000038147;0.1;140.1430037109375;0.5451
5;0.10000000000476837;117.71480065917969;0.550260000038147;0.1;97.93156385498047;0.5299
6;0.10000000000238418;82.81250572753906;0.5172400000190734;0.1;69.5509360961914;0.5281
7;0.10791999999046326;56.1486300390625;0.540099999961853;0.1276;38.726832897949215;0.5425
8;0.21627999999523162;31.695819073486327;0.8052;0.2374;25.937357092285158;0.8265
9;0.3623200000190735;21.2080481640625;0.88552;0.3548;17.4913390625;0.854
10;0.5037799999809265;14.240392763061523;0.9366199999809265;0.306;12.755780310058594;0.8406
11;0.6078399999809265;9.65677524597168;0.96086;0.4635;8.61721113433838;0.9204
12;0.6685399999809265;6.670781289978027;0.97336;0.6139;5.8232598251342775;0.9647
13;0.7261400000190735;4.665962324371338;0.980040000038147;0.6146;4.378207266235352;0.9489
14;0.7623600000190734;3.349405984802246;0.985040000038147;0.6599;3.259331338882446;0.9773
15;0.7891799999618531;2.477612724761963;0.988;0.7472;2.31059419593811;0.9796
16;0.809999999961853;1.8921958011627198;0.9903200000190735;0.7075;2.015652772521973;0.9767
17;0.8278599999809265;1.5017271054458619;0.9910400000190734;0.6669;1.916744090270996;0.9783
18;0.83668;1.2436859489059449;0.9926;0.7116;1.5648700998306275;0.9791
19;0.84552;1.0630312996673583;0.99354;0.7595;1.2788204740524292;0.9802
20;0.8565800000381469;0.932273430480957;0.99396;0.69;1.5810104181289673;0.9725
21;0.8573800000190734;0.8558055227279663;0.9940000000381469;0.7798;1.0856230221748353;0.9882
22;0.86348;0.7964098823928834;0.99444;0.7691;1.134305357837677;0.9863
23;0.8686599999618531;0.7579755449676514;0.99546;0.7506;1.1337196946144104;0.9824
24;0.8730399999809265;0.7241468106079102;0.995;0.7369;1.1972098829269409;0.975
25;0.8761400000190734;0.7018181228637695;0.99598;0.7076;1.3317922538757325;0.9695
26;0.879800000038147;0.682286339187622;0.99586;0.7668;1.0531396216392517;0.9889
27;0.881040000038147;0.6756958333206177;0.99606;0.7322;1.248221785736084;0.9743
28;0.8834399999809265;0.6618714647293091;0.9965400000190735;0.8059;0.9059667919158936;0.9907
29;0.88736;0.6538432545471191;0.9962;0.7253;1.1595519638061524;0.9824
30;0.8900200000190734;0.6454821941947937;0.9962;0.7818;1.0250047843933106;0.9849
31;0.8880799999809265;0.6459735976028442;0.99646;0.7803;1.0205498661994934;0.9867
32;0.892499999961853;0.6371375576400757;0.99674;0.8144;0.9165515853404999;0.9929
33;0.89652;0.6275631135749817;0.99704;0.8075;0.9148282371520996;0.9911
34;0.895159999961853;0.6308851266098022;0.99706;0.8098;0.907555044555664;0.9893
35;0.8955999999809265;0.6301472504806519;0.9967600000190735;0.8125;0.889321766090393;0.9906
36;0.8981999999809265;0.625632793006897;0.99692;0.7818;1.045391667842865;0.9824
37;0.898579999961853;0.6246893384552002;0.99716;0.7949;0.991925820350647;0.9873
38;0.9010799999809265;0.6215183130073547;0.99728;0.7647;1.1357554313659668;0.9682
39;0.8992999999618531;0.6215785548019409;0.99724;0.8243;0.8554302606582641;0.9927
40;0.902620000038147;0.6132545246505737;0.99734;0.7937;1.0116190843582153;0.9841
41;0.901660000038147;0.6188560155105591;0.99726;0.7805;1.0296651287078857;0.9894
42;0.9012;0.6192126468276977;0.9975;0.7809;1.0619011043548583;0.9743
43;0.903360000038147;0.6155527873039246;0.9977600000190735;0.7625;1.1433506790161132;0.9622
44;0.9022999999618531;0.6178790832901001;0.99758;0.7914;1.0092963533401489;0.9877
45;0.9048399999809266;0.6163590986061096;0.99736;0.7883;1.0416439361572265;0.9839
46;0.9066800000190735;0.6119574997329712;0.99712;0.7314;1.332873003768921;0.9787
47;0.90788;0.6082438667869567;0.99764;0.8059;0.9678715737819672;0.9906
48;0.9065800000190735;0.6109083808708191;0.9978;0.8513;0.8009901290893555;0.9914
49;0.9074400000190734;0.6038231666851044;0.99704;0.8334;0.877827377128601;0.9894
0;0.94118;0.5098905443859101;0.99902;0.9179;0.5658378270149231;0.9976
1;0.959659999961853;0.4515055054950714;0.9995;0.9288;0.5356911348342895;0.9979
2;0.9654800000190735;0.4238380611038208;0.9998;0.9285;0.5222180562973022;0.9984
3;0.97012;0.3995750624656677;0.99974;0.9309;0.5109765918731689;0.9978
4;0.9748400000190734;0.3781122511863709;0.99978;0.9321;0.5040455047607422;0.9981
5;0.976480000038147;0.3608583344841003;0.99986;0.9313;0.4931698302745819;0.9988
6;0.9805800000381469;0.3411480101776123;0.99988;0.9307;0.4835273407936096;0.9982
7;0.982960000038147;0.3246864696311951;0.99994;0.9312;0.4758618290901184;0.998
8;0.98492;0.31158374320030213;0.99994;0.9308;0.4675235089302063;0.9981
9;0.9859000000381469;0.29791249859809876;0.99992;0.9282;0.4752889719486237;0.9977
10;0.98718;0.28535178035736086;0.99994;0.9328;0.45482964782714846;0.998
11;0.9889600000190735;0.2722103452205658;0.99992;0.9301;0.4537523685216904;0.9979
12;0.99028;0.2617950069618225;0.99998;0.929;0.45232268314361573;0.9978
13;0.9905;0.2521832620811462;0.99996;0.9314;0.44552987513542175;0.9978
14;0.99198;0.24135734820842744;1.0;0.9312;0.4530815224647522;0.9976
15;0.992820000038147;0.23323776995658874;1.0;0.9271;0.46550320243835447;0.998
16;0.9921200000381469;0.22690077990055085;0.99994;0.9296;0.4367949809074402;0.9974
17;0.9924800000190734;0.2190631775188446;1.0;0.9251;0.44375730457305906;0.9975
18;0.9928200000190734;0.21182391686439514;1.0;0.9304;0.4298798122882843;0.9977
19;0.99276;0.20701312886714934;1.0;0.928;0.4374876170158386;0.998
20;0.99422;0.19884644599437715;1.0;0.9266;0.43597417726516724;0.9974
21;0.9934400000190735;0.1937937712097168;1.0;0.9305;0.43118347005844115;0.9976
22;0.9939600000190735;0.18917545581817627;0.99998;0.9226;0.45409962196350095;0.9974
23;0.9944;0.1824519228219986;1.0;0.9318;0.417325709104538;0.9974
24;0.9942;0.1782316887807846;1.0;0.9275;0.42282263202667236;0.9976
25;0.9943;0.17492310659885407;1.0;0.9305;0.40427426912784575;0.9978
26;0.9939200000190734;0.1710170411682129;0.99998;0.9272;0.42406460638046267;0.9974
27;0.9924000000190735;0.16989906797409057;1.0;0.923;0.42371276619434356;0.9971
28;0.9933600000190735;0.16611639298915862;1.0;0.9209;0.4422367595672607;0.9976
29;0.9922400000190735;0.16576046491622926;1.0;0.9067;0.4906694359779358;0.9963
30;0.9927200000190735;0.16206720702648164;1.0;0.9228;0.41967870132923124;0.9972
31;0.99238;0.1606973074245453;1.0;0.9228;0.4129054123878479;0.9975
32;0.99182;0.15853600238323212;1.0;0.9222;0.4146998292446136;0.9972
33;0.99176;0.15665274434566498;1.0;0.9275;0.4075244804382324;0.998
34;0.99294;0.15117983623504638;1.0;0.9207;0.42128914837837217;0.9957
35;0.9924;0.15072763828754426;1.0;0.912;0.4641367335319519;0.9972
36;0.99088;0.15319031020641327;0.99998;0.9234;0.4172198677062988;0.9973
37;0.9900600000190735;0.1532091741371155;1.0;0.9186;0.4270577639579773;0.9965
38;0.9911800000190735;0.14856478004455567;0.99998;0.9242;0.4075776213645935;0.9965
39;0.99208;0.14438993642807008;1.0;0.9117;0.46270404415130617;0.997
40;0.99084;0.14666608208656312;0.99998;0.9222;0.4007090353012085;0.9975
41;0.99184;0.14255935727119445;1.0;0.9189;0.4276927099227905;0.9959
42;0.9909000000381469;0.1434185099554062;1.0;0.9158;0.4280327130317688;0.9976
43;0.990760000038147;0.14278118385314942;0.99998;0.9097;0.4632951593399048;0.9958
44;0.9900000000190735;0.14495097997665404;1.0;0.9196;0.4201008416175842;0.9957
45;0.9898400000190735;0.14417957012176513;0.99998;0.9165;0.42166541786193845;0.9968
46;0.98958;0.1438081246113777;0.99996;0.9071;0.47949547004699705;0.9938
47;0.9897400000190735;0.14265286868095398;1.0;0.9167;0.44522273464202883;0.9973
48;0.99086;0.13886414376735687;1.0;0.908;0.46698503379821776;0.9974
49;0.989580000038147;0.142248016204834;0.99996;0.9216;0.397044397354126;0.9967
0;0.9948;0.12849209362983705;0.99998;0.9327;0.35077897243499756;0.9979
1;0.997380000038147;0.12076348972797393;1.0;0.9357;0.34310540838241577;0.9983
2;0.9979600000190735;0.11817450950145722;1.0;0.9361;0.3393610530376434;0.9982
3;0.9983800000190735;0.11653568836688995;1.0;0.937;0.3372099391937256;0.9982
4;0.99914;0.1143161125087738;1.0;0.9372;0.3368009783744812;0.9983
5;0.99912;0.11363486873865128;1.0;0.9371;0.3344610412597656;0.9982
6;0.9994;0.11269802601337432;1.0;0.9376;0.3337928010225296;0.9983
7;0.9995;0.11180950860261916;1.0;0.9377;0.3312008303642273;0.9983
8;0.9994600000190735;0.11140477533817292;1.0;0.9387;0.3322695414543152;0.9981
9;0.99952;0.11059320550918579;1.0;0.9377;0.3300063253760338;0.9982
10;0.9997;0.10956232927560806;1.0;0.9386;0.33100930217504504;0.9982
11;0.99964;0.1092050174355507;1.0;0.9388;0.3312863975763321;0.9981
12;0.999700000038147;0.10840246183395386;1.0;0.9383;0.3286628586888313;0.998
13;0.99982;0.1078395415377617;1.0;0.9392;0.32826378127336503;0.9983
14;0.99968;0.10747808500051498;1.0;0.9392;0.32809538987874987;0.998
15;0.9997000000190734;0.10701976435661316;1.0;0.9394;0.32685095099210737;0.9981
16;0.99976;0.10636039618730544;1.0;0.9391;0.32835431329011916;0.9981
17;0.99974;0.10566907500505447;1.0;0.9404;0.3270403670549393;0.998
18;0.9998;0.10554706990242005;1.0;0.9401;0.32773525880575183;0.9981
19;0.99978;0.10488028460502624;1.0;0.9406;0.32771140055656434;0.9982
20;0.99986;0.10440881604909896;1.0;0.9413;0.3266684317588806;0.9982
21;0.99986;0.10386698154449463;1.0;0.9407;0.325313184094429;0.9983
22;0.99986;0.10348665688037872;1.0;0.9419;0.325118629014492;0.9982
23;0.99984;0.10302294377565384;1.0;0.9409;0.3245966405391693;0.9983
24;0.99994;0.10268853469371796;1.0;0.9412;0.3239336696267128;0.9982
25;0.99984;0.10228443624734879;1.0;0.9419;0.32120687192678454;0.9981
26;0.99988;0.10168480929374694;1.0;0.9414;0.32152973741292956;0.9981
27;0.99988;0.10142321226119995;1.0;0.9405;0.32241807594299315;0.9983
28;0.99994;0.10083682499408722;1.0;0.942;0.32097456092834475;0.9983
29;0.9999;0.1004162420630455;1.0;0.9413;0.32110002193450926;0.9981
30;0.9999;0.10006905701637268;1.0;0.9414;0.32066791601181033;0.9982
31;0.99992;0.09967736819744111;1.0;0.9414;0.3205289050102234;0.9983
32;0.99992;0.09919843996286393;1.0;0.9412;0.3210909337997436;0.998
33;0.9999;0.09883204907417298;1.0;0.9412;0.32119099311828614;0.9983
34;0.9999;0.09855001252174378;1.0;0.9416;0.3197339761257172;0.9982
35;0.99994;0.09797236206531525;1.0;0.9417;0.3199730291366577;0.9983
36;0.99982;0.09765337430238724;1.0;0.9409;0.3186522945404053;0.9982
37;0.99992;0.09734131697177886;1.0;0.9409;0.3195998037338257;0.9982
38;0.99998;0.09666772471904754;1.0;0.9414;0.3185455021381378;0.998
39;0.9999;0.09647015231370926;1.0;0.9415;0.31867252321243283;0.9982
40;0.99992;0.09610405142068863;1.0;0.9419;0.3169821889400482;0.9982
41;0.99994;0.09566161731958389;1.0;0.9417;0.31751728887557984;0.9981
42;0.99994;0.09530277617454529;1.0;0.9422;0.3154490038871765;0.9983
43;0.99994;0.0948624847984314;1.0;0.9425;0.3155904184341431;0.9982
44;0.99994;0.09448205072641373;1.0;0.9412;0.31619468822479246;0.9979
45;0.99994;0.09415842303514481;1.0;0.9411;0.3162631757736206;0.9982
46;0.9999;0.09375582337617874;1.0;0.9429;0.3152673823356628;0.9981
47;0.99998;0.09338091564178466;1.0;0.9435;0.31406824560165403;0.9982
48;0.99996;0.09299496162176132;1.0;0.9423;0.31492309398651125;0.9982
49;0.99998;0.09266806128978729;1.0;0.9429;0.3136601146697998;0.9982
