epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.09986;465.940865;0.99998;0.1;310.86327763671875;1.0
1;0.10000000000476837;219.6972319140625;1.0;0.1;149.06376540527344;1.0
2;0.1000000000011921;107.65208455810547;1.0;0.1;75.60056568603515;1.0
3;0.10000000000476837;56.79527094604492;0.9695;0.1;42.245436694335936;0.56
4;0.09999999999523163;33.71095610961914;0.5493599999809265;0.1;27.09031310119629;0.5207
5;0.10012;23.565992131347656;0.96712;0.1;20.496028210449218;1.0
6;0.1;18.65338335205078;1.0;0.1;17.225859344482423;1.0
7;0.1000000000011921;16.38898110900879;0.98676;0.1;15.741076501464844;0.6806
8;0.09999999999523163;15.360601533813476;0.622539999961853;0.1;15.066927893066406;0.5
9;0.10074000000476838;15.611077740478516;0.74234;0.1;16.317183975219727;1.0
10;0.10000000000476837;15.759609141540528;1.0;0.1;15.32850358734131;1.0
11;0.1000000000011921;15.07545099243164;1.0;0.1;14.879604318237305;1.0
12;0.09999999999523163;14.764694740905762;0.96694;0.1;14.675786950683595;0.7368
13;0.10000000000476837;14.623588828430176;0.6957599999809265;0.1;14.56862532043457;0.5349
14;0.09980000000476837;15.608983013916015;0.97248;0.1;15.374729220581054;1.0
15;0.10000000000953674;15.107293851013184;0.99122;0.1;14.90059274597168;0.5182
16;0.10068000000238418;14.403433984375;0.6891600000381469;0.0981;14.542258142089844;0.9459
17;0.21328;2.3808371881866455;0.71754;0.2496;2.148076760864258;0.8234
18;0.4305999999809265;1.7079704431915284;0.910620000038147;0.3631;2.265538088607788;0.8711
19;0.580560000038147;1.3453896424484253;0.9539399999809265;0.4248;2.133697594833374;0.8835
20;0.6768999999809265;1.1241224646759034;0.97264;0.5339;1.664776086807251;0.9445
21;0.7303399999809265;0.9985686292266845;0.98166;0.4597;2.1714166404724122;0.922
22;0.764159999961853;0.9346529443740845;0.9851200000190735;0.6788;1.1973359409332276;0.9713
23;0.77982;0.9086624799346924;0.98654;0.6387;1.3570537223815917;0.9465
24;0.79688;0.879062332649231;0.9888800000190735;0.7035;1.181489727783203;0.9736
25;0.8049;0.8684692360687256;0.99;0.5449;1.7780698333740235;0.938
26;0.814580000038147;0.8557357256698609;0.99036;0.7347;1.066004241657257;0.9821
27;0.822320000038147;0.8458046671676636;0.9912800000190735;0.4507;2.7874731666564943;0.8937
28;0.825360000038147;0.8409727109909058;0.991920000038147;0.5835;1.7101469451904296;0.9314
29;0.8331600000381469;0.8312330209732056;0.99184;0.7399;1.11964655418396;0.9877
30;0.8331400000381469;0.8337720425415039;0.99238;0.638;1.5482288621902467;0.9581
31;0.837419999961853;0.8346147444343567;0.99264;0.7027;1.2305151134490966;0.9795
32;0.840619999961853;0.8286352326011658;0.9929;0.7002;1.3155328229904175;0.9766
33;0.843640000038147;0.8300010829544068;0.99252;0.5861;1.6974948719024658;0.9114
34;0.844519999961853;0.828148253955841;0.99288;0.4446;2.8926767837524414;0.9557
35;0.8461999999809265;0.8306872578430176;0.9934600000190735;0.782;1.0248805076599121;0.9825
36;0.8461199999809265;0.8342008480834961;0.9935200000190735;0.7276;1.179628567314148;0.9783
37;0.849;0.835623122177124;0.99336;0.6874;1.3077530584335326;0.9847
38;0.8507199999809265;0.8274819308662414;0.9940600000190735;0.6316;1.6400105167388916;0.9202
39;0.852279999961853;0.8288915905380249;0.99404;0.6447;1.452736989212036;0.9519
40;0.8503999999809265;0.8324926692962646;0.99438;0.6288;1.502820023727417;0.9569
41;0.855619999961853;0.826217606048584;0.99354;0.6845;1.4380084259033203;0.9804
42;0.8544599999809265;0.8331043315696717;0.9935400000190735;0.6165;1.8627512844085694;0.9641
43;0.8544200000190735;0.8296120316505432;0.9944800000190734;0.6972;1.3682205129623413;0.9655
44;0.855699999961853;0.8285601858520508;0.99438;0.7416;1.2404047775268554;0.9807
45;0.857500000038147;0.823962223892212;0.99426;0.6123;1.5851472595214844;0.9466
46;0.85494;0.8366304796981812;0.99412;0.707;1.3010026250839233;0.9701
47;0.857839999961853;0.826419523601532;0.9943000000190735;0.7531;1.124223823928833;0.9819
48;0.8596800000381469;0.829012233505249;0.9941;0.669;1.4971014394760132;0.9582
49;0.8588400000190735;0.8301600513839722;0.9938000000190735;0.6014;1.665367960357666;0.962
50;0.861380000038147;0.8335318786239624;0.99458;0.7812;1.0548284162521362;0.986
51;0.862179999961853;0.817979613418579;0.99472;0.5899;1.7557074043273926;0.9351
52;0.857600000038147;0.8337460326957703;0.99432;0.767;1.1546333101272583;0.9742
53;0.862180000038147;0.8296341144180298;0.994640000038147;0.7466;1.220193175125122;0.9678
54;0.862600000038147;0.8231702149963379;0.99488;0.7802;1.0864010837554932;0.9857
55;0.8633000000190735;0.824912304019928;0.99458;0.6452;1.637946188545227;0.9655
56;0.86472;0.8261430936050415;0.9947;0.5048;2.224022863769531;0.9386
57;0.86166;0.8327326583099365;0.9944;0.6578;1.4897717155456542;0.9653
58;0.86444;0.8231066926574707;0.9946;0.5704;1.9423774423599243;0.9382
59;0.86204;0.8312712802505493;0.99438;0.7574;1.222422261428833;0.9803
60;0.8635600000381469;0.830311365699768;0.99466;0.792;1.0426891929626465;0.9882
61;0.863960000038147;0.8294597707176209;0.99466;0.679;1.4380150638580322;0.9826
62;0.8634600000190735;0.8318233334732056;0.99462;0.7696;1.1682536130905152;0.9788
63;0.866320000038147;0.8264124044799804;0.9946400000190735;0.691;1.4681291763305664;0.9525
64;0.8663199999809265;0.821964818687439;0.99442;0.4533;2.8583310779571534;0.9105
65;0.863740000038147;0.8310032195663453;0.99458;0.5482;1.951209471321106;0.9262
66;0.8658800000190735;0.8278085866928101;0.99486;0.5342;2.232283720397949;0.9095
67;0.866259999961853;0.8286323035430908;0.99418;0.7431;1.1763499549865724;0.9794
68;0.8690199999809265;0.8188474128341675;0.9951;0.5919;1.9712819282531737;0.8926
